127.0.0.1 - - [15/Sep/2019:19:47:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:47:56 +0530] "GET /waterplant_web/index.jsp HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:47:56 +0530] "GET /waterplant_web/js/app.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:47:56 +0530] "GET /waterplant_web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:47:56 +0530] "GET /waterplant_web/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:47:56 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:15 +0530] "GET /waterplant_web/adminlogin.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:30 +0530] "GET /waterplant_web/LoginAdminServlet?name=Naresh&password=naresh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:30 +0530] "GET /waterplant_web/admin.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:34 +0530] "GET /waterplant_web/viewusers.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:34 +0530] "GET /waterplant_web/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:48:35 +0530] "GET /waterplant_web/ViewUsersServlet HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:49:57 +0530] "GET /waterplant_web/LoginAdminServlet?name=Naresh&password=nar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:49:57 +0530] "GET /waterplant_web/adminlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:50:03 +0530] "GET /waterplant_web/index.jsp HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:50:03 +0530] "GET /waterplant_web/js/app.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:50:07 +0530] "GET /waterplant_web/userlogin.jsp HTTP/1.1" 200 1677
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:50:25 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=8300823797&password=sham HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:19:50:26 +0530] "GET /waterplant_web/index.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1692
